Start_Date,End_Date,Pay_Plan_Type,Pay_Plan,Pay_Plan_Level,Biweekly_Pay_Rate,Hourly_Pay_Rate
04/01/2012,03/31/2013,Bargaining Unit,CL 02,1,"1,009.04",
04/01/2013,03/31/2014,Bargaining Unit,CL 02,1,"1,034.27",
04/01/2014,03/31/2015,Bargaining Unit,CL 02,1,"1,065.30",
04/01/2012,03/31/2013,Bargaining Unit,CL 02,2,"1,032.44",
04/01/2013,03/31/2014,Bargaining Unit,CL 02,2,"1,058.25",
04/01/2014,03/31/2015,Bargaining Unit,CL 02,2,"1,090.00",
04/01/2012,03/31/2013,Bargaining Unit,CL 02,3,"1,055.95",
04/01/2013,03/31/2014,Bargaining Unit,CL 02,3,"1,082.35",
04/01/2014,03/31/2015,Bargaining Unit,CL 02,3,"1,114.82",
04/01/2012,03/31/2013,Bargaining Unit,CL 02,4,"1,079.33",
04/01/2013,03/31/2014,Bargaining Unit,CL 02,4,"1,106.31",
04/01/2014,03/31/2015,Bargaining Unit,CL 02,4,"1,139.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 03,1,"1,009.04",
04/01/2013,03/31/2014,Bargaining Unit,CL 03,1,"1,034.27",
04/01/2014,03/31/2015,Bargaining Unit,CL 03,1,"1,065.30",
04/01/2012,03/31/2013,Bargaining Unit,CL 03,2,"1,032.44",
04/01/2013,03/31/2014,Bargaining Unit,CL 03,2,"1,058.25",
04/01/2014,03/31/2015,Bargaining Unit,CL 03,2,"1,090.00",
04/01/2012,03/31/2013,Bargaining Unit,CL 03,3,"1,055.95",
04/01/2013,03/31/2014,Bargaining Unit,CL 03,3,"1,082.35",
04/01/2014,03/31/2015,Bargaining Unit,CL 03,3,"1,114.82",
04/01/2012,03/31/2013,Bargaining Unit,CL 03,4,"1,079.33",
04/01/2013,03/31/2014,Bargaining Unit,CL 03,4,"1,106.31",
04/01/2014,03/31/2015,Bargaining Unit,CL 03,4,"1,139.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 03,5,"1,102.85",
04/01/2013,03/31/2014,Bargaining Unit,CL 03,5,"1,130.42",
04/01/2014,03/31/2015,Bargaining Unit,CL 03,5,"1,164.34",
04/01/2012,03/31/2013,Bargaining Unit,CL 04,1,"1,032.44",
04/01/2013,03/31/2014,Bargaining Unit,CL 04,1,"1,058.25",
04/01/2014,03/31/2015,Bargaining Unit,CL 04,1,"1,090.00",
04/01/2012,03/31/2013,Bargaining Unit,CL 04,2,"1,055.95",
04/01/2013,03/31/2014,Bargaining Unit,CL 04,2,"1,082.35",
04/01/2014,03/31/2015,Bargaining Unit,CL 04,2,"1,114.82",
04/01/2012,03/31/2013,Bargaining Unit,CL 04,3,"1,079.33",
04/01/2013,03/31/2014,Bargaining Unit,CL 04,3,"1,106.31",
04/01/2014,03/31/2015,Bargaining Unit,CL 04,3,"1,139.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 04,4,"1,102.85",
04/01/2013,03/31/2014,Bargaining Unit,CL 04,4,"1,130.42",
04/01/2014,03/31/2015,Bargaining Unit,CL 04,4,"1,164.34",
04/01/2012,03/31/2013,Bargaining Unit,CL 04,5,"1,126.38",
04/01/2013,03/31/2014,Bargaining Unit,CL 04,5,"1,154.54",
04/01/2014,03/31/2015,Bargaining Unit,CL 04,5,"1,189.17",
04/01/2012,03/31/2013,Bargaining Unit,CL 05,1,"1,055.95",
04/01/2013,03/31/2014,Bargaining Unit,CL 05,1,"1,082.35",
04/01/2014,03/31/2015,Bargaining Unit,CL 05,1,"1,114.82",
04/01/2012,03/31/2013,Bargaining Unit,CL 05,2,"1,079.33",
04/01/2013,03/31/2014,Bargaining Unit,CL 05,2,"1,106.31",
04/01/2014,03/31/2015,Bargaining Unit,CL 05,2,"1,139.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 05,3,"1,102.85",
04/01/2013,03/31/2014,Bargaining Unit,CL 05,3,"1,130.42",
04/01/2014,03/31/2015,Bargaining Unit,CL 05,3,"1,164.34",
04/01/2012,03/31/2013,Bargaining Unit,CL 05,4,"1,126.38",
04/01/2013,03/31/2014,Bargaining Unit,CL 05,4,"1,154.54",
04/01/2014,03/31/2015,Bargaining Unit,CL 05,4,"1,189.17",
04/01/2012,03/31/2013,Bargaining Unit,CL 05,5,"1,149.74",
04/01/2013,03/31/2014,Bargaining Unit,CL 05,5,"1,178.49",
04/01/2014,03/31/2015,Bargaining Unit,CL 05,5,"1,213.84",
04/01/2012,03/31/2013,Bargaining Unit,CL 06,1,"1,079.33",
04/01/2013,03/31/2014,Bargaining Unit,CL 06,1,"1,106.31",
04/01/2014,03/31/2015,Bargaining Unit,CL 06,1,"1,139.50",
04/01/2012,03/31/2013,Bargaining Unit,CL 06,2,"1,102.85",
04/01/2013,03/31/2014,Bargaining Unit,CL 06,2,"1,130.42",
04/01/2014,03/31/2015,Bargaining Unit,CL 06,2,"1,164.34",
04/01/2012,03/31/2013,Bargaining Unit,CL 06,3,"1,126.38",
04/01/2013,03/31/2014,Bargaining Unit,CL 06,3,"1,154.54",
04/01/2014,03/31/2015,Bargaining Unit,CL 06,3,"1,189.17",
04/01/2012,03/31/2013,Bargaining Unit,CL 06,4,"1,149.74",
04/01/2013,03/31/2014,Bargaining Unit,CL 06,4,"1,178.49",
04/01/2014,03/31/2015,Bargaining Unit,CL 06,4,"1,213.84",
04/01/2012,03/31/2013,Bargaining Unit,CL 06,5,"1,173.28",
04/01/2013,03/31/2014,Bargaining Unit,CL 06,5,"1,202.61",
04/01/2014,03/31/2015,Bargaining Unit,CL 06,5,"1,238.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 07,1,"1,102.85",
04/01/2013,03/31/2014,Bargaining Unit,CL 07,1,"1,130.42",
04/01/2014,03/31/2015,Bargaining Unit,CL 07,1,"1,164.34",
04/01/2012,03/31/2013,Bargaining Unit,CL 07,2,"1,126.38",
04/01/2013,03/31/2014,Bargaining Unit,CL 07,2,"1,154.54",
04/01/2014,03/31/2015,Bargaining Unit,CL 07,2,"1,189.17",
04/01/2012,03/31/2013,Bargaining Unit,CL 07,3,"1,149.74",
04/01/2013,03/31/2014,Bargaining Unit,CL 07,3,"1,178.49",
04/01/2014,03/31/2015,Bargaining Unit,CL 07,3,"1,213.84",
04/01/2012,03/31/2013,Bargaining Unit,CL 07,4,"1,173.28",
04/01/2013,03/31/2014,Bargaining Unit,CL 07,4,"1,202.61",
04/01/2014,03/31/2015,Bargaining Unit,CL 07,4,"1,238.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 07,5,"1,196.68",
04/01/2013,03/31/2014,Bargaining Unit,CL 07,5,"1,226.59",
04/01/2014,03/31/2015,Bargaining Unit,CL 07,5,"1,263.39",
04/01/2012,03/31/2013,Bargaining Unit,CL 08,1,"1,126.38",
04/01/2013,03/31/2014,Bargaining Unit,CL 08,1,"1,154.54",
04/01/2014,03/31/2015,Bargaining Unit,CL 08,1,"1,189.17",
04/01/2012,03/31/2013,Bargaining Unit,CL 08,2,"1,149.74",
04/01/2013,03/31/2014,Bargaining Unit,CL 08,2,"1,178.49",
04/01/2014,03/31/2015,Bargaining Unit,CL 08,2,"1,213.84",
04/01/2012,03/31/2013,Bargaining Unit,CL 08,3,"1,173.28",
04/01/2013,03/31/2014,Bargaining Unit,CL 08,3,"1,202.61",
04/01/2014,03/31/2015,Bargaining Unit,CL 08,3,"1,238.69",
04/01/2012,03/31/2013,Bargaining Unit,CL 08,4,"1,196.68",
04/01/2013,03/31/2014,Bargaining Unit,CL 08,4,"1,226.59",
04/01/2014,03/31/2015,Bargaining Unit,CL 08,4,"1,263.39",
04/01/2012,03/31/2013,Bargaining Unit,CL 08,5,"1,220.21",
04/01/2013,03/31/2014,Bargaining Unit,CL 08,5,"1,250.72",
04/01/2014,03/31/2015,Bargaining Unit,CL 08,5,"1,288.24",
04/01/2012,03/31/2013,Bargaining Unit,CL 09,1,"1,149.74",
